Epoch=1, Loss=3.7276, Val_Acc=0.1869
Epoch=2, Loss=2.9273, Val_Acc=0.2927
Epoch=3, Loss=2.3818, Val_Acc=0.3843
Epoch=4, Loss=2.0402, Val_Acc=0.4366
Epoch=5, Loss=1.7974, Val_Acc=0.4929
Epoch=6, Loss=1.6111, Val_Acc=0.5232
Epoch=7, Loss=1.4776, Val_Acc=0.5340
Epoch=8, Loss=1.3645, Val_Acc=0.5603
Epoch=9, Loss=1.2622, Val_Acc=0.5747
Epoch=10, Loss=1.1816, Val_Acc=0.5938
Epoch=11, Loss=1.1074, Val_Acc=0.5880
Epoch=12, Loss=1.0384, Val_Acc=0.6088
Epoch=13, Loss=0.9778, Val_Acc=0.6116
Epoch=14, Loss=0.9298, Val_Acc=0.6232
Epoch=15, Loss=0.8743, Val_Acc=0.6249
Epoch=16, Loss=0.8186, Val_Acc=0.6341
Epoch=17, Loss=0.7774, Val_Acc=0.6232
Epoch=18, Loss=0.7347, Val_Acc=0.6367
Epoch=19, Loss=0.7032, Val_Acc=0.6306
Epoch=20, Loss=0.6665, Val_Acc=0.6456
Epoch=21, Loss=0.6348, Val_Acc=0.6385
Epoch=22, Loss=0.5989, Val_Acc=0.6448
Epoch=23, Loss=0.5676, Val_Acc=0.6480
Epoch=24, Loss=0.5421, Val_Acc=0.6432
Epoch=25, Loss=0.5139, Val_Acc=0.6598
Epoch=26, Loss=0.4888, Val_Acc=0.6521
Epoch=27, Loss=0.4684, Val_Acc=0.6546
Epoch=28, Loss=0.4479, Val_Acc=0.6561
Epoch=29, Loss=0.4171, Val_Acc=0.6608
Epoch=30, Loss=0.4033, Val_Acc=0.6533
Epoch=31, Loss=0.3910, Val_Acc=0.6594
Epoch=32, Loss=0.3683, Val_Acc=0.6613
Epoch=33, Loss=0.3440, Val_Acc=0.6519
Epoch=34, Loss=0.3465, Val_Acc=0.6646
Epoch=35, Loss=0.3286, Val_Acc=0.6587
Epoch=36, Loss=0.3209, Val_Acc=0.6636
Epoch=37, Loss=0.3026, Val_Acc=0.6614
Epoch=38, Loss=0.2933, Val_Acc=0.6591
Epoch=39, Loss=0.2851, Val_Acc=0.6638
Epoch=40, Loss=0.2753, Val_Acc=0.6589
Epoch=41, Loss=0.2624, Val_Acc=0.6670
Epoch=42, Loss=0.2594, Val_Acc=0.6640
Epoch=43, Loss=0.2417, Val_Acc=0.6600
Epoch=44, Loss=0.2394, Val_Acc=0.6597
Epoch=45, Loss=0.2355, Val_Acc=0.6657
Epoch=46, Loss=0.2301, Val_Acc=0.6651
Epoch=47, Loss=0.2219, Val_Acc=0.6700
Epoch=48, Loss=0.2151, Val_Acc=0.6713
Epoch=49, Loss=0.2081, Val_Acc=0.6635
Epoch=50, Loss=0.2007, Val_Acc=0.6727
Epoch=51, Loss=0.2028, Val_Acc=0.6606
Epoch=52, Loss=0.2012, Val_Acc=0.6648
Epoch=53, Loss=0.1886, Val_Acc=0.6648
Epoch=54, Loss=0.1925, Val_Acc=0.6685
Epoch=55, Loss=0.1848, Val_Acc=0.6679
Epoch=56, Loss=0.1768, Val_Acc=0.6688
Epoch=57, Loss=0.1810, Val_Acc=0.6740
Epoch=58, Loss=0.1709, Val_Acc=0.6770
Epoch=59, Loss=0.1746, Val_Acc=0.6668
Epoch=60, Loss=0.1774, Val_Acc=0.6776
Epoch=61, Loss=0.1654, Val_Acc=0.6733
Epoch=62, Loss=0.1566, Val_Acc=0.6691
Epoch=63, Loss=0.1554, Val_Acc=0.6683
Epoch=64, Loss=0.1568, Val_Acc=0.6679
Epoch=65, Loss=0.1580, Val_Acc=0.6720
Epoch=66, Loss=0.1639, Val_Acc=0.6697
Epoch=67, Loss=0.1470, Val_Acc=0.6706
Epoch=68, Loss=0.1427, Val_Acc=0.6732
Epoch=69, Loss=0.1465, Val_Acc=0.6664
Epoch=70, Loss=0.1450, Val_Acc=0.6583
Epoch=71, Loss=0.1402, Val_Acc=0.6649
Epoch=72, Loss=0.1459, Val_Acc=0.6669
Epoch=73, Loss=0.1432, Val_Acc=0.6700
Epoch=74, Loss=0.1368, Val_Acc=0.6734
Epoch=75, Loss=0.1289, Val_Acc=0.6689
Epoch=76, Loss=0.1297, Val_Acc=0.6697
Epoch=77, Loss=0.1290, Val_Acc=0.6737
Epoch=78, Loss=0.1336, Val_Acc=0.6813
Epoch=79, Loss=0.1220, Val_Acc=0.6737
Epoch=80, Loss=0.1202, Val_Acc=0.6706
Epoch=81, Loss=0.1327, Val_Acc=0.6686
Epoch=82, Loss=0.1219, Val_Acc=0.6741
Epoch=83, Loss=0.1101, Val_Acc=0.6662
Epoch=84, Loss=0.1205, Val_Acc=0.6690
Epoch=85, Loss=0.1247, Val_Acc=0.6772
Epoch=86, Loss=0.1219, Val_Acc=0.6683
Epoch=87, Loss=0.1209, Val_Acc=0.6725
Epoch=88, Loss=0.1188, Val_Acc=0.6775
Epoch=89, Loss=0.1194, Val_Acc=0.6768
Epoch=90, Loss=0.1136, Val_Acc=0.6765
Epoch=91, Loss=0.1141, Val_Acc=0.6759
