Epoch=2, Loss=1.9662, Val_Acc=0.4920
Epoch=3, Loss=1.8898, Val_Acc=0.5220
Epoch=4, Loss=1.8264, Val_Acc=0.6240
Epoch=5, Loss=1.7469, Val_Acc=0.7100
Epoch=6, Loss=1.6543, Val_Acc=0.7240
Epoch=7, Loss=1.5693, Val_Acc=0.7280
Epoch=8, Loss=1.4622, Val_Acc=0.7440
Epoch=9, Loss=1.4017, Val_Acc=0.7740
Epoch=10, Loss=1.3339, Val_Acc=0.7940
Epoch=11, Loss=1.2448, Val_Acc=0.8200
Epoch=12, Loss=1.1408, Val_Acc=0.8300
Epoch=13, Loss=1.0861, Val_Acc=0.8340
Epoch=14, Loss=1.0354, Val_Acc=0.8340
Epoch=15, Loss=0.9682, Val_Acc=0.8320
Epoch=16, Loss=0.9141, Val_Acc=0.8340
Epoch=17, Loss=0.8895, Val_Acc=0.8380
Epoch=18, Loss=0.8273, Val_Acc=0.8400
Epoch=19, Loss=0.8214, Val_Acc=0.8480
Epoch=20, Loss=0.7467, Val_Acc=0.8580
Epoch=21, Loss=0.7111, Val_Acc=0.8660
Epoch=22, Loss=0.7007, Val_Acc=0.8620
Epoch=23, Loss=0.6530, Val_Acc=0.8680
Epoch=24, Loss=0.6215, Val_Acc=0.8740
Epoch=25, Loss=0.6406, Val_Acc=0.8780
Epoch=26, Loss=0.6030, Val_Acc=0.8800
Epoch=27, Loss=0.5693, Val_Acc=0.8800
Epoch=28, Loss=0.5725, Val_Acc=0.8840
Epoch=29, Loss=0.5535, Val_Acc=0.8880
Epoch=30, Loss=0.5413, Val_Acc=0.8940
Epoch=31, Loss=0.5308, Val_Acc=0.8920
Epoch=32, Loss=0.5197, Val_Acc=0.8920
Epoch=33, Loss=0.5290, Val_Acc=0.8960
Epoch=34, Loss=0.5027, Val_Acc=0.8980
Epoch=35, Loss=0.4958, Val_Acc=0.8980
Epoch=36, Loss=0.5014, Val_Acc=0.8980
Epoch=37, Loss=0.4965, Val_Acc=0.8960
Epoch=38, Loss=0.4963, Val_Acc=0.8980
Epoch=39, Loss=0.4791, Val_Acc=0.9020
Epoch=40, Loss=0.4806, Val_Acc=0.9020
Epoch=41, Loss=0.4686, Val_Acc=0.8980
Epoch=42, Loss=0.4725, Val_Acc=0.8980
Epoch=43, Loss=0.4419, Val_Acc=0.8980
Epoch=44, Loss=0.4602, Val_Acc=0.8960
Epoch=45, Loss=0.4499, Val_Acc=0.8960
Epoch=46, Loss=0.4486, Val_Acc=0.8960
Epoch=47, Loss=0.4481, Val_Acc=0.8980
Epoch=48, Loss=0.4518, Val_Acc=0.8960
Epoch=49, Loss=0.4691, Val_Acc=0.8960
Epoch=50, Loss=0.4287, Val_Acc=0.8960
Epoch=51, Loss=0.4320, Val_Acc=0.9000
Epoch=52, Loss=0.4424, Val_Acc=0.9020
Epoch=53, Loss=0.4296, Val_Acc=0.9000
Epoch=54, Loss=0.4292, Val_Acc=0.8960
Epoch=55, Loss=0.4363, Val_Acc=0.8980
Epoch=56, Loss=0.4220, Val_Acc=0.8980
Epoch=57, Loss=0.4243, Val_Acc=0.8980
Epoch=58, Loss=0.4040, Val_Acc=0.8980
Epoch=59, Loss=0.3987, Val_Acc=0.8960
Epoch=60, Loss=0.4043, Val_Acc=0.8980
Epoch=61, Loss=0.4150, Val_Acc=0.8980
Epoch=62, Loss=0.4101, Val_Acc=0.8980
Epoch=63, Loss=0.4165, Val_Acc=0.8980
Epoch=64, Loss=0.4101, Val_Acc=0.8980
Epoch=65, Loss=0.4067, Val_Acc=0.8960
Epoch=66, Loss=0.3941, Val_Acc=0.8960
Epoch=67, Loss=0.3744, Val_Acc=0.8940
Epoch=68, Loss=0.4026, Val_Acc=0.8940
Epoch=69, Loss=0.4031, Val_Acc=0.8920
Epoch=70, Loss=0.3962, Val_Acc=0.8940
Epoch=71, Loss=0.4042, Val_Acc=0.8960
Epoch=72, Loss=0.3840, Val_Acc=0.8980
Epoch=73, Loss=0.3930, Val_Acc=0.8980
Epoch=74, Loss=0.3897, Val_Acc=0.9000
Epoch=75, Loss=0.3830, Val_Acc=0.8960
Epoch=76, Loss=0.3886, Val_Acc=0.8920
Epoch=77, Loss=0.3819, Val_Acc=0.8940
Epoch=78, Loss=0.3907, Val_Acc=0.8920
Epoch=79, Loss=0.3771, Val_Acc=0.8920
Epoch=80, Loss=0.3997, Val_Acc=0.8940
Epoch=81, Loss=0.3850, Val_Acc=0.8960
Epoch=82, Loss=0.3685, Val_Acc=0.8940
Epoch=83, Loss=0.4062, Val_Acc=0.8900
Epoch=84, Loss=0.3847, Val_Acc=0.8860
Epoch=85, Loss=0.3777, Val_Acc=0.8860
Epoch=86, Loss=0.3749, Val_Acc=0.8900
Epoch=87, Loss=0.3674, Val_Acc=0.8920
Epoch=88, Loss=0.3743, Val_Acc=0.8940
Epoch=89, Loss=0.3595, Val_Acc=0.8980
Epoch=90, Loss=0.3724, Val_Acc=0.8960
Epoch=91, Loss=0.3725, Val_Acc=0.8880
Epoch=92, Loss=0.3648, Val_Acc=0.8860
Epoch=93, Loss=0.3863, Val_Acc=0.8900
Epoch=94, Loss=0.3695, Val_Acc=0.8860
Epoch=95, Loss=0.3629, Val_Acc=0.8840
Epoch=96, Loss=0.3671, Val_Acc=0.8920
Epoch=97, Loss=0.3701, Val_Acc=0.8960
Epoch=98, Loss=0.3675, Val_Acc=0.8980
Epoch=99, Loss=0.3600, Val_Acc=0.8940
Epoch=100, Loss=0.3686, Val_Acc=0.8920
Epoch=101, Loss=0.3442, Val_Acc=0.8900
